realtime,framenum,rendertime(ms),fps,GPUUtil(%)
5.529732,323,6.4229,29.957236,51
5.54488,324,7.4503,30.013824,51
5.561972,325,8.031,30.006004,51
5.577248,326,6.1973,30.051972,51
5.595817,327,6.7066,30.043632,51
5.612195,328,4.8677,30.020982,51
5.629446,329,7.6032,29.966875,51
5.644677,330,9.8557,30.014965,51
5.662753,331,7.3363,29.984309,51
5.678543,332,6.9057,29.968386,51
5.695495,333,5.7033,29.981552,51
5.71102,334,6.7009,29.997726,51
5.728487,335,5.0411,30.012071,51
5.745309,336,5.4424,29.973372,51
5.762174,337,8.2877,29.998692,51
5.779604,338,5.6706,29.943009,51
5.795906,339,6.9484,29.973096,51
5.812015,340,7.7622,29.984075,51
5.82937,341,6.0888,29.96003,51
5.844958,342,7.4922,29.990229,51
5.862299,343,6.1825,29.995246,51
5.878632,344,7.0297,29.970542,51
5.895406,345,8.2793,29.96859,51
5.911003,346,4.948,30.008036,51
5.929052,347,5.9368,29.981214,51
5.94528,348,5.038,29.974929,51
5.962093,349,7.9023,29.998977,51
5.978593,350,5.3219,29.969979,51
5.996061,351,5.8195,29.995339,51
6.012579,352,8.09,29.958343,51
6.028798,353,6.8411,29.98282,51
6.044934,354,5.0535,29.9907,51
6.063476,355,6.0661,29.947965,51
6.078617,356,5.1786,29.996122,51
6.096763,357,6.3142,29.972779,51
6.11206,358,6.5573,29.988146,51
6.128879,359,7.8867,30.029555,51
6.145305,360,5.2822,29.989794,51
6.162736,361,6.6577,29.966477,52
6.178447,362,6.8833,29.994058,52
6.196669,363,6.5223,29.944659,52
6.212256,364,7.4705,29.995603,52
6.230032,365,8.6947,29.972488,52
6.245432,366,6.1978,29.984885,52
6.263002,367,5.7423,29.953102,52
6.277645,368,5.8659,30.020892,52
6.295706,369,6.4129,29.981822,52
6.311108,370,6.8131,29.995558,52
6.330052,371,6.7418,29.955223,52
6.345198,372,6.7849,29.984561,52
6.362783,373,5.6959,29.988985,50
6.378897,374,5.1189,29.978859,50
6.396431,375,5.5694,29.953904,50
6.412228,376,7.412,29.965189,50
6.428709,377,7.3759,30.01265,50
6.445226,378,4.9008,29.980039,50
6.462366,379,6.0528,29.987414,50
6.477635,380,5.8051,30.019176,50
6.495724,381,6.5821,30.000504,50
6.51221,382,7.4074,29.975935,50
6.528839,383,7.533,30.026204,50
6.544752,384,4.8284,29.999286,50
6.562375,385,6.3477,29.989444,50
6.578142,386,7.0358,29.978508,50
6.595732,387,6.4755,29.986896,50
6.612353,388,4.9265,29.99324,50
6.629186,389,7.213,30.008763,50
6.645382,390,6.3894,29.974917,50
6.662744,391,8.3435,29.995615,50
6.678936,392,7.0872,29.988383,50
6.695844,393,5.4451,29.989696,50
6.712497,394,5.0757,29.9533,50
6.731547,395,7.345,29.908632,50
6.745421,396,5.0344,29.995936,50
6.762657,397,8.275,29.985619,50
6.778386,398,6.7589,30.033496,50
6.796519,399,6.3432,29.973081,50
6.812685,400,6.4631,29.972997,50
6.830524,401,6.2999,29.973872,50
6.845222,402,6.5764,29.997372,50
6.863039,403,5.7153,29.969566,50
6.879335,404,6.361,29.978712,50
6.896158,405,8.5661,29.984165,50
6.912807,406,5.5916,29.94601,50
6.930158,407,6.5558,29.968752,50
6.945868,408,6.7645,29.983021,50
6.962562,409,6.3937,29.978868,51
6.978869,410,5.1048,29.981915,51
6.996303,411,5.6926,29.985259,51
7.012405,412,5.171,29.997201,51
7.029014,413,7.3068,29.98918,51
7.045599,414,4.8071,29.967674,51
7.063138,415,6.4113,29.996817,51
7.07957,416,7.3228,29.965459,51
7.097149,417,6.7463,29.982029,51
7.112094,418,5.9525,29.991087,51
7.129582,419,8.3876,29.977472,51
7.145834,420,6.8574,29.981567,51
7.163844,421,7.8599,29.979857,51
7.179334,422,6.3078,29.974561,51
7.196537,423,7.4558,30.004759,51
7.213331,424,5.6094,29.962245,51
7.230068,425,6.8064,29.996107,51
7.245997,426,6.7246,29.974375,51
