Black Myth:Wukong,Final Fantasy XVI,RDR2,frametime1
9.804668333,6.8,5.37,16.66666667
8.14812,6.58,5.32,16.66666667
8.001461667,7.02,6.23,16.66666667
7.908446667,7.18,5.14,16.66666667
8.183193333,7.31,5.38,16.66666667
7.848435,6.77,5.51,16.66666667
7.891411667,7.19,5.54,16.66666667
7.455793333,7.06,6.95,16.66666667
7.209271667,6.64,7.11,16.66666667
6.991315,6.79,6.81,16.66666667
7.367045,6.67,7.34,16.66666667
7.57862,6.53,7.24,16.66666667
7.157248333,6.66,5.54,16.66666667
7.060553333,6.51,7.12,16.66666667
7.134075,6.83,7.22,16.66666667
7.770093333,6.89,6.7,16.66666667
7.709283333,6.89,6.69,16.66666667
7.68533,7.12,6.64,16.66666667
7.404973333,7.47,6.94,16.66666667
7.128403333,7.63,6.69,16.66666667
7.3371,7.72,6.06,16.66666667
7.696361667,7.28,6.68,16.66666667
7.349518333,6.53,6.52,16.66666667
7.238818333,6.46,5.94,16.66666667
7.433886667,6.62,6.83,16.66666667
7.732841667,6.65,5.85,16.66666667
7.262141667,6.64,4.91,16.66666667
7.603861667,7.09,4.84,16.66666667
7.617461667,7.2,4.93,16.66666667
7.49995,7.02,6.25,16.66666667
7.453163333,6.76,5.21,16.66666667
7.588458333,6.65,5,16.66666667
7.936073333,6.53,4.93,16.66666667
7.938765,6.6,6.42,16.66666667
9.261656667,6.68,6.73,16.66666667
9.016476667,6.59,6.84,16.66666667
9.180798333,6.61,6.53,16.66666667
9.307438333,6.62,6.07,16.66666667
9.50353,7.37,5.39,16.66666667
9.416066667,6.99,5.67,16.66666667
9.024306667,6.54,5.51,16.66666667
9.119893333,6.78,6.59,16.66666667
8.865001667,7.07,5.16,16.66666667
8.258976667,7.62,5.11,16.66666667
6.175711667,6.85,5.21,16.66666667
6.23765,6.81,5.29,16.66666667
6.459163333,6.57,5.6,16.66666667
6.294308333,6.5,5.37,16.66666667
6.163188333,6.03,5.15,16.66666667
6.16883,5.82,5.87,16.66666667
6.225213333,6.13,7.29,16.66666667
6.178186667,5.72,7.07,16.66666667
7.419248333,6.11,5.5,16.66666667
7.546695,6.17,4.94,16.66666667
7.464573333,5.79,4.91,16.66666667
7.849548333,6.38,5.03,16.66666667
8.570513333,5.82,5.56,16.66666667
7.760663333,6.22,5.57,16.66666667
7.500096667,6.39,5.79,16.66666667
7.647148333,6.26,6.11,16.66666667
7.249265,6.24,5.83,16.66666667
7.346568333,6.32,6.04,16.66666667
7.432545,6.23,5.95,16.66666667
7.451736667,6.27,6.42,16.66666667
7.461051667,6.5,6.35,16.66666667
7.491341667,6.67,6.51,16.66666667
7.572905,6.18,6.74,16.66666667
7.4326,6.03,7.09,16.66666667
6.756036667,7.15,6.84,16.66666667
6.706278333,6.45,7.5,16.66666667
7.43809,5.76,5.79,16.66666667
7.718416667,5.79,5.78,16.66666667
7.571736667,6.26,6.33,16.66666667
6.230308333,6.23,5.7,16.66666667
5.76116,5.95,5.86,16.66666667
6.034613333,5.82,5.95,16.66666667
